ID    Period    HX    HY    HMag    eHMag
    11847  278.797  955.520  343.315   22.257    0.148 
    15574  375.028  839.670  434.390   21.824    0.124 
    17867  327.769 1096.264  488.428   21.962    0.093 
    19646  323.505  884.815  529.661   22.148    0.123 
    20101  301.450  630.333  541.294   22.265    0.160 
    20855  339.800 1121.022  558.962   22.228    0.150 
    23593  375.068  994.737  623.863   21.872    0.133 
    23699  269.624  389.271  627.473   22.306    0.279 
    23734  328.050  367.864  628.169   21.664    0.261 
    24253  344.309  658.342  639.815   21.833    0.154 
    24555  278.777 1074.337  646.583   22.187    0.161 
    25199  317.264  491.417  661.665   22.361    0.303 
    25721  364.232 1240.527  673.906   21.947    0.086 
    25838  245.271  990.950  676.706   22.140    0.321 
    27677  337.654  457.686  720.582   22.036    0.119 
    28296  385.835 1192.975  735.376   21.710    0.114 
    28865  362.219  756.423  749.437   21.755    0.237 
    29176  328.699 1070.847  756.009   22.238    0.136 
    29413  345.792  519.587  761.697   22.157    0.133 
    31939  384.760  744.457  818.709   21.848    0.125 
    31945  338.543  839.414  819.016   22.011    0.122 
    32590  289.463  617.460  834.223   22.178    0.144 
    33155  248.111 1095.800  845.552   21.975    0.167 
    33219  314.346  468.451  847.881   22.194    0.159 
    34056  297.024  782.113  867.317   22.114    0.122 
    34489  248.446  975.088  875.998   22.657    0.163 
    36007  299.977  794.525  909.507   22.077    0.165 
    36702  398.800 1062.076  925.582   21.523    0.112 
    36691  379.731  724.927  925.655   21.790    0.198 
    36972  298.762  818.318  931.554   22.357    0.176 
    41818  296.744  491.157 1047.936   22.382    0.218 
    42468  327.929  580.716 1063.806   22.148    0.147 
    42919  319.290  516.306 1075.084   22.082    0.113 
    43663  385.614  767.849 1092.017   21.835    0.100 
    44423  260.793  864.923 1110.031   22.240    0.172 
    46021  301.970  801.972 1148.243   22.271    0.147 
    47808  336.190  649.877 1192.133   22.044    0.078 
    47951  333.456  756.958 1195.226   22.101    0.096 
    49407  341.123  553.779 1231.712   22.164    0.088 
    50365  324.473  738.020 1257.192   22.158    0.103 
    50506  274.968  528.483 1260.618   21.830    0.353 
    13045  313.172  741.662  373.281   21.962    0.123 
    13095  319.110  745.722  374.224   22.165    0.145 
    15278  297.600  667.048  426.737   21.793    0.198 
    15408  340.642  786.555  429.841   21.758    0.170 
    17224  364.770 1108.938  473.421   22.240    0.224 
    20427  350.861  537.725  549.459   22.046    0.178 
    21559  352.806  718.362  576.111   21.811    0.160 
    22286  378.492  741.163  592.944   21.870    0.213 
    25070  274.168 1093.494  659.372   22.255    0.144 
    27492  260.833  564.456  716.088   21.600    0.176 
    28811  261.804  454.389  747.797   22.473    0.236 
    28876  276.807 1039.521  748.609   22.334    0.204 
    33226  338.323  575.664  848.198   22.371    0.155 
    33240  288.063  957.168  848.352   22.274    0.223 
    34605  356.883  607.797  878.877   21.916    0.158 
    36562  276.097  691.338  922.801   22.578    0.135 
    39271  361.043  980.627  984.586   21.751    0.135 
    41896  311.258  513.882 1050.213   22.280    0.119 
    42151  307.587  631.658 1055.631   22.116    0.111 
    44851  247.498  710.459 1120.440   22.156    0.195 
    18405  344.817  711.308  500.868   22.230    0.146 
    21395  367.911  597.778  572.285   22.155    0.183 
    27162  355.498  705.534  708.382   21.917    0.170 
    37322  288.410  989.647  939.867   22.311    0.178 
    37620  329.875  816.872  947.438   21.804    0.159 
    37662  338.944  591.981  947.911   22.009    0.106 
    37700  319.730  478.477  948.813   22.382    0.130 
    40160  395.845  572.771 1007.515   21.901    0.092 
    20289  304.033 1152.428  545.062   22.099    0.124 
    20366  331.964 1055.260  547.215   22.070    0.086 
    20505  343.548  393.132  550.728   22.183    0.135 
    23778  381.218  571.775  629.374   21.332    0.128 
    35816  374.285  661.207  905.517   21.906    0.106 
    25010  328.819  379.003  657.934   22.076    0.250 
    38817  382.158  764.653  974.272   22.280    0.102 
   228917  367.271  364.423  755.577   22.373    0.142 
   233914  305.631  619.615  868.772   22.160    0.224 
   226605  257.387 1202.393  700.734   22.712    0.161 
   233920  337.314  758.347  868.962   22.101    0.126 
   223453  243.515  574.279  626.880   22.658    0.207 
   237325  323.284  810.369  942.684   22.002    0.277 
   215837  310.555  551.859  443.473   22.105    0.182 
    12532  258.625  649.591  360.134   21.609    0.193 
    16778  355.140 1124.854  461.769   22.096    0.226 
    18926  338.523  600.623  513.352   22.197    0.151 
