 ID    Period    HX    HY    HMag   eHMag 
 3002588    374.586   697.660     5.385    24.150     0.153  
 8168    344.937   725.941    23.264    24.202     0.163  
 3009388    272.999   553.360    22.640    24.649     0.176  
 9348    339.024   451.567    26.954    25.059     0.184  
 13728    260.733   719.626    40.124    24.228     0.270  
 14238    240.849   214.651    42.213    24.018     0.178  
 3016238    295.503   749.607    44.512    24.916     0.253  
 19648    263.733   587.545    56.643    24.259     0.473  
 16068    310.348   309.246    47.456    24.263     0.145  
 22278    347.314   517.991    64.354    24.507     0.183  
 3035328    319.410   386.645    94.986    24.782     0.216  
 39738    272.939   669.508   109.656    24.465     0.372  
 36268    251.081   327.299   101.019    25.040     0.261  
 40158    326.046   757.175   111.162    24.573     0.363  
 40998    267.813   759.922   112.767    24.821     0.484  
 3046858    254.121   715.432   125.538    23.570     0.485  
 3049098    328.070   194.400   130.754    24.437     0.216  
 59858    257.784   173.463   164.217    24.362     0.215  
 67288    279.258   858.723   181.645    24.331     0.470  
 240848    335.133   892.648   647.835    24.124     0.520  
 291318    268.850   217.584   782.345    24.619     0.497  
 302998    299.648   249.118   812.793    24.648     0.694  
 304678    323.445   749.442   817.461    23.812     0.506  
 3275388    331.884   756.571   819.201    24.065     0.407  
 3283118    246.727   791.377   839.790    25.178     0.459  
 313638    304.393   826.856   839.746    24.927     0.276  
 315398    335.233   446.634   845.005    24.440     0.364  
 318438    306.537   897.589   851.830    24.333     0.193  
 324498    325.906   555.668   868.344    24.344     0.461  
 323618    352.786   382.766   866.405    23.793     0.302  
 328798    360.663   706.431   879.137    24.052     0.516  
 338728    369.393   347.484   904.695    24.692     0.248  
 3307928    243.951   818.424   905.263    24.785     0.355  
 3310978    395.564   818.594   912.614    23.967     0.289  
 343718    388.532   446.230   917.922    24.571     0.248  
 343828    345.017   782.306   917.738    23.526     0.290  
 343698    268.540   408.575   918.369    24.687     0.458  
 348438    260.141   778.605   929.605    24.584     0.329  
 3325778    366.496   387.509   950.796    24.996     0.272  
 358258    369.474   670.590   955.815    24.455     0.216  
 357208    268.119   650.613   952.727    24.797     0.225  
 3329718    276.867   405.465   960.565    24.810     0.247  
 362408    330.636   664.816   967.190    24.681     0.186  
 35918    293.738   339.956   100.420    24.468     0.266  
 3054038    357.483   625.533   144.521    24.504     0.591  
 297688    288.410   292.256   799.419    24.124     0.532  
 322868    394.162   411.182   864.176    24.175     0.259  
 3046418    290.438   655.444   130.147    24.066     0.398  
 311678    336.430   852.682   835.321    24.592     0.220  
 330128    366.977   295.845   882.560    24.549     0.310  
 3301108    354.050   547.598   888.189    23.912     0.289  
 342178    361.618   303.297   914.425    23.873     0.205  
 3326678    357.003   678.412   952.785    24.611     0.187  
 36618    266.628   470.708   102.408    24.100     0.346  
 59148    348.142   311.614   162.036    23.769     0.281  
 3168188    387.319  1038.412   493.234    24.066     0.582  
 36908    309.643   203.772   102.581    24.355     0.196  
 52228    282.034   489.584   143.373    24.520     0.495  
 37378    389.076   361.893   103.687    24.475     0.151  
 3260298    311.832   330.601   776.676    24.368     0.674  
 53668    326.785   781.482   146.646    24.482     0.380  
 3069038    339.519   808.534   184.423    24.238     0.604  
 1588    332.597   555.898     3.461    24.752     0.142  
 7388    270.401   504.407    20.865    24.647     0.185  
 17188    357.103   436.345    50.359    24.224     0.138  
 3025818    282.054   319.584    69.551    25.506     0.208  
 48958    391.569   858.596   133.654    23.669     0.279  
